# MANA MultiRun Summary File
# Version: 5.01.04
# Machine Name: MAZZAS-PC
# Scenario,F:\SE311-114G\MANA_version5_31st_Jan_2013\ThesisScenario_3_12.xml
# MultiRun Started,4/9/2013,6:18:32 AM
Run,Seed,Alleg1Cas(Blue),Alleg2Cas(Red),Alleg0Cas(Neutral),Blue Reach Goal,Red Reach Goal,Neutral Reach Goal,Steps, Sqd1Cas, Sqd2Cas, Sqd3Cas, Sqd4Cas, Sqd5Cas, Sqd6Cas, Sqd7Cas, Sqd8Cas, Sqd9Cas, Sqd10Cas, Sqd11Cas, Sqd12Cas, Sqd13Cas, Sqd14Cas, Sqd15Cas, Sqd16Cas, Sqd17Cas, Sqd18Cas, Sqd19Cas, Sqd20Cas, Sqd21Cas, Sqd22Cas, Sqd23Cas, Sqd24Cas, Sqd25Cas, Sqd26Cas, Sqd1Inj, Sqd2Inj, Sqd3Inj, Sqd4Inj, Sqd5Inj, Sqd6Inj, Sqd7Inj, Sqd8Inj, Sqd9Inj, Sqd10Inj, Sqd11Inj, Sqd12Inj, Sqd13Inj, Sqd14Inj, Sqd15Inj, Sqd16Inj, Sqd17Inj, Sqd18Inj, Sqd19Inj, Sqd20Inj, Sqd21Inj, Sqd22Inj, Sqd23Inj, Sqd24Inj, Sqd25Inj, Sqd26Inj
1,1186973886,7,66,0,No,No,Yes,14933, 5, 1, 0, 0, 0, 16, 3, 0, 0, 0, 1, 0, 1, 1, 0, 1, 11, 15, 3, 1, 2, 0, 4, 0, 4, 4, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2,1578387525,25,67,0,No,No,No,50000, 5, 1, 0, 1, 7, 16, 4, 0, 0, 1, 2, 7, 0, 1, 1, 1, 11, 16, 3, 1, 2, 2, 4, 0, 2, 4, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
3,-183285968,19,53,0,No,No,Yes,13608, 6, 1, 0, 1, 1, 16, 3, 0, 0, 1, 7, 3, 0, 1, 1, 1, 10, 8, 3, 1, 1, 0, 4, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
4,1265058680,19,62,0,No,No,Yes,10409, 5, 1, 1, 1, 2, 16, 3, 0, 0, 0, 7, 1, 3, 1, 0, 0, 11, 13, 3, 1, 2, 0, 4, 0, 2, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
5,-372832911,13,62,0,No,No,Yes,13582, 6, 1, 0, 0, 4, 14, 0, 0, 0, 1, 1, 2, 4, 0, 0, 1, 11, 14, 3, 1, 2, 0, 4, 0, 2, 4, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
6,-702820520,22,65,0,No,No,No,50000, 5, 1, 2, 0, 1, 16, 4, 0, 0, 0, 4, 7, 2, 1, 1, 0, 7, 16, 3, 1, 2, 2, 4, 0, 4, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
7,-1897439406,15,60,0,No,No,Yes,9486, 5, 1, 0, 0, 1, 16, 2, 0, 0, 1, 7, 1, 1, 1, 1, 0, 10, 9, 3, 1, 2, 1, 4, 0, 4, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8,-918854359,33,49,0,No,No,No,50000, 4, 1, 2, 1, 7, 16, 4, 0, 0, 1, 7, 7, 1, 1, 1, 1, 11, 1, 3, 1, 2, 2, 4, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
9,1613901694,36,64,0,No,No,No,50000, 4, 1, 0, 1, 7, 16, 4, 0, 0, 1, 7, 7, 7, 0, 1, 1, 11, 16, 3, 1, 2, 2, 4, 0, 0, 4, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
10,-2003948363,26,66,0,No,No,No,50000, 6, 1, 0, 0, 5, 16, 4, 0, 0, 1, 3, 7, 5, 0, 1, 0, 11, 16, 3, 1, 2, 2, 4, 0, 0, 4, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
