# MANA MultiRun Summary File
# Version: 5.01.04
# Machine Name: MAZZAS-PC
# Scenario,F:\SE311-114G\MANA_version5_31st_Jan_2013\ThesisScenario_3_12.xml
# MultiRun Started,4/9/2013,4:55:26 PM
Run,Seed,Alleg1Cas(Blue),Alleg2Cas(Red),Alleg0Cas(Neutral),Blue Reach Goal,Red Reach Goal,Neutral Reach Goal,Steps, Sqd1Cas, Sqd2Cas, Sqd3Cas, Sqd4Cas, Sqd5Cas, Sqd6Cas, Sqd7Cas, Sqd8Cas, Sqd9Cas, Sqd10Cas, Sqd11Cas, Sqd12Cas, Sqd13Cas, Sqd14Cas, Sqd15Cas, Sqd16Cas, Sqd17Cas, Sqd18Cas, Sqd19Cas, Sqd20Cas, Sqd21Cas, Sqd22Cas, Sqd23Cas, Sqd24Cas, Sqd25Cas, Sqd26Cas, Sqd1Inj, Sqd2Inj, Sqd3Inj, Sqd4Inj, Sqd5Inj, Sqd6Inj, Sqd7Inj, Sqd8Inj, Sqd9Inj, Sqd10Inj, Sqd11Inj, Sqd12Inj, Sqd13Inj, Sqd14Inj, Sqd15Inj, Sqd16Inj, Sqd17Inj, Sqd18Inj, Sqd19Inj, Sqd20Inj, Sqd21Inj, Sqd22Inj, Sqd23Inj, Sqd24Inj, Sqd25Inj, Sqd26Inj
1,-1142066741,23,67,0,No,No,Yes,16555, 4, 1, 2, 1, 7, 16, 1, 0, 0, 1, 7, 1, 2, 1, 0, 0, 10, 16, 3, 1, 2, 2, 4, 0, 4, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2,495430785,13,61,0,No,No,Yes,11914, 5, 1, 0, 1, 1, 16, 0, 0, 0, 0, 7, 0, 1, 1, 1, 1, 11, 12, 3, 1, 2, 2, 4, 0, 0, 4, 0, 0, 2, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
3,-1214314417,24,65,0,No,No,Yes,13810, 5, 1, 2, 1, 7, 16, 0, 0, 0, 0, 4, 7, 1, 1, 1, 0, 11, 16, 3, 1, 2, 1, 4, 0, 1, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
4,-1544323859,22,52,0,No,No,Yes,12813, 4, 1, 1, 0, 0, 16, 0, 0, 0, 0, 4, 7, 7, 1, 1, 1, 7, 8, 3, 1, 2, 0, 4, 0, 2, 4, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
5,-967909720,32,68,0,No,No,Yes,13360, 6, 1, 1, 1, 7, 16, 0, 0, 0, 0, 7, 7, 7, 1, 0, 1, 11, 16, 3, 1, 2, 2, 4, 0, 2, 4, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
6,-1748281745,20,66,0,No,No,Yes,23849, 6, 1, 1, 0, 4, 16, 1, 0, 0, 0, 7, 5, 2, 0, 0, 0, 11, 16, 3, 1, 2, 2, 4, 0, 0, 4, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
7,787165324,12,64,0,No,No,Yes,16291, 4, 1, 2, 1, 1, 16, 2, 0, 0, 0, 2, 3, 1, 0, 0, 0, 11, 16, 3, 1, 2, 2, 4, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8,2119608657,23,57,0,No,No,Yes,10495, 5, 1, 1, 1, 7, 15, 1, 0, 0, 0, 7, 1, 2, 1, 1, 1, 11, 9, 3, 1, 2, 0, 4, 0, 2, 4, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
9,1466456426,17,64,0,No,No,Yes,12951, 4, 1, 2, 0, 2, 16, 3, 0, 0, 0, 2, 7, 0, 0, 1, 0, 11, 15, 3, 1, 2, 1, 4, 0, 2, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
10,1672974909,17,51,0,No,No,Yes,11999, 5, 1, 2, 1, 3, 16, 1, 0, 0, 0, 0, 6, 1, 1, 1, 1, 8, 8, 3, 0, 2, 0, 4, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
