# MANA MultiRun Summary File
# Version: 5.01.04
# Machine Name: MAZZAS-PC
# Scenario,F:\SE311-114G\MANA_version5_31st_Jan_2013\ThesisScenario_3_12.xml
# MultiRun Started,3/21/2013,9:42:36 PM
Run,Seed,Alleg1Cas(Blue),Alleg2Cas(Red),Alleg0Cas(Neutral),Blue Reach Goal,Red Reach Goal,Neutral Reach Goal,Steps, Sqd1Cas, Sqd2Cas, Sqd3Cas, Sqd4Cas, Sqd5Cas, Sqd6Cas, Sqd7Cas, Sqd8Cas, Sqd9Cas, Sqd10Cas, Sqd11Cas, Sqd12Cas, Sqd13Cas, Sqd14Cas, Sqd15Cas, Sqd16Cas, Sqd17Cas, Sqd18Cas, Sqd19Cas, Sqd20Cas, Sqd21Cas, Sqd22Cas, Sqd23Cas, Sqd24Cas, Sqd25Cas, Sqd26Cas, Sqd1Inj, Sqd2Inj, Sqd3Inj, Sqd4Inj, Sqd5Inj, Sqd6Inj, Sqd7Inj, Sqd8Inj, Sqd9Inj, Sqd10Inj, Sqd11Inj, Sqd12Inj, Sqd13Inj, Sqd14Inj, Sqd15Inj, Sqd16Inj, Sqd17Inj, Sqd18Inj, Sqd19Inj, Sqd20Inj, Sqd21Inj, Sqd22Inj, Sqd23Inj, Sqd24Inj, Sqd25Inj, Sqd26Inj
1,1547797252,11,56,0,No,No,Yes,11831, 5, 1, 2, 0, 0, 16, 0, 0, 0, 0, 6, 1, 2, 0, 0, 0, 10, 9, 3, 1, 2, 0, 4, 0, 1, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2,511231109,11,67,0,No,No,Yes,15772, 5, 1, 0, 0, 1, 16, 1, 0, 0, 0, 0, 7, 0, 0, 1, 1, 11, 16, 3, 1, 2, 2, 4, 0, 2, 4, 0, 0, 2, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
3,275474879,25,66,0,No,No,Yes,16747, 4, 1, 2, 0, 1, 16, 0, 0, 0, 1, 7, 7, 6, 0, 1, 0, 11, 16, 3, 1, 2, 2, 4, 0, 2, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
4,-1306696500,16,66,0,No,No,Yes,20756, 4, 1, 0, 0, 3, 16, 1, 0, 0, 0, 7, 0, 4, 1, 0, 0, 11, 16, 3, 1, 2, 2, 4, 0, 2, 4, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
5,-286343268,13,61,0,No,No,Yes,12624, 5, 1, 2, 0, 1, 16, 3, 0, 0, 0, 1, 1, 4, 1, 0, 0, 9, 16, 3, 1, 2, 0, 4, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
# MultiRun Finished,3/21/2013,10:04:40 PM
, , BlueCas, RedCas, NeutralCas, BlueGoal, RedGoal, SquadGoal, Steps, RealTime, 
Means, , 15.200000, 63.200000, 0.000000, 0.000000, 0.000000, 1.000000, 15546.000000, 15546.000000, 
Std Errors, , 2.615339, 2.083267, 0.000000, 0.000000, 0.000000, 0.000000, 1596.510038, 1596.510038, 
# Output Ends
