# MANA MultiRun Summary File
# Version: 5.01.04
# Machine Name: APGRNBRCG5RTKZK
# Scenario,C:\Users\steve.mazza\Desktop\School\SE311-114G\MANA_version5_31st_Jan_2013\ThesisScenario_3_12.xml
# MultiRun Started,3/21/2013,12:16:41 PM
Run,Seed,Alleg1Cas(Blue),Alleg2Cas(Red),Alleg0Cas(Neutral),Blue Reach Goal,Red Reach Goal,Neutral Reach Goal,Steps, Sqd1Cas, Sqd2Cas, Sqd3Cas, Sqd4Cas, Sqd5Cas, Sqd6Cas, Sqd7Cas, Sqd8Cas, Sqd9Cas, Sqd10Cas, Sqd11Cas, Sqd12Cas, Sqd13Cas, Sqd14Cas, Sqd15Cas, Sqd16Cas, Sqd17Cas, Sqd18Cas, Sqd19Cas, Sqd20Cas, Sqd21Cas, Sqd22Cas, Sqd23Cas, Sqd24Cas, Sqd25Cas, Sqd26Cas, Sqd1Inj, Sqd2Inj, Sqd3Inj, Sqd4Inj, Sqd5Inj, Sqd6Inj, Sqd7Inj, Sqd8Inj, Sqd9Inj, Sqd10Inj, Sqd11Inj, Sqd12Inj, Sqd13Inj, Sqd14Inj, Sqd15Inj, Sqd16Inj, Sqd17Inj, Sqd18Inj, Sqd19Inj, Sqd20Inj, Sqd21Inj, Sqd22Inj, Sqd23Inj, Sqd24Inj, Sqd25Inj, Sqd26Inj
1,1547797252,30,67,0,No,No,No,50000, 5, 1, 1, 0, 5, 16, 4, 0, 0, 0, 6, 7, 5, 1, 1, 0, 11, 16, 3, 1, 2, 2, 4, 0, 2, 4, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2,-380398951,26,63,0,No,No,Yes,10671, 5, 1, 1, 1, 7, 16, 2, 0, 0, 0, 7, 3, 3, 1, 0, 1, 10, 11, 3, 1, 2, 2, 4, 0, 4, 4, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
3,451415620,29,66,0,No,No,No,50000, 5, 1, 2, 1, 7, 16, 4, 0, 0, 0, 2, 7, 4, 1, 0, 1, 11, 16, 3, 1, 2, 1, 4, 0, 2, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
4,-824230527,28,52,0,No,No,Yes,8474, 2, 1, 0, 1, 7, 14, 3, 0, 0, 1, 6, 2, 7, 0, 0, 1, 9, 10, 3, 1, 2, 2, 4, 0, 0, 4, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
5,-1517287275,31,54,0,No,No,Yes,10892, 5, 1, 1, 1, 7, 15, 3, 0, 0, 0, 2, 7, 7, 1, 1, 1, 10, 8, 3, 1, 2, 0, 4, 0, 1, 4, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
# MultiRun Stopped by User,3/21/2013,12:49:43 PM
, , BlueCas, RedCas, NeutralCas, BlueGoal, RedGoal, SquadGoal, Steps, RealTime, 
Means, , 28.800000, 60.400000, 0.000000, 0.000000, 0.000000, 0.600000, 26007.400000, 26007.400000, 
Std Errors, , 0.860233, 3.108054, 0.000000, 0.000000, 0.000000, 0.244949, 9804.056067, 9804.056067, 
# Output Ended Prematurely
