# MANA MultiRun Summary File
# Version: 5.01.04
# Machine Name: MAZZAS-PC
# Scenario,F:\SE311-114G\MANA_version5_31st_Jan_2013\Capstone114G_Scenario_Reinforced-20130412.xml
# MultiRun Started,4/12/2013,10:01:35 PM
Run,Seed,Alleg1Cas(Blue),Alleg2Cas(Red),Alleg0Cas(Neutral),Blue Reach Goal,Red Reach Goal,Neutral Reach Goal,Steps, Sqd1Cas, Sqd2Cas, Sqd3Cas, Sqd4Cas, Sqd5Cas, Sqd6Cas, Sqd7Cas, Sqd8Cas, Sqd9Cas, Sqd10Cas, Sqd11Cas, Sqd12Cas, Sqd13Cas, Sqd14Cas, Sqd15Cas, Sqd16Cas, Sqd17Cas, Sqd18Cas, Sqd19Cas, Sqd20Cas, Sqd21Cas, Sqd22Cas, Sqd23Cas, Sqd24Cas, Sqd25Cas, Sqd26Cas, Sqd27Cas, Sqd28Cas, Sqd29Cas, Sqd30Cas, Sqd1Inj, Sqd2Inj, Sqd3Inj, Sqd4Inj, Sqd5Inj, Sqd6Inj, Sqd7Inj, Sqd8Inj, Sqd9Inj, Sqd10Inj, Sqd11Inj, Sqd12Inj, Sqd13Inj, Sqd14Inj, Sqd15Inj, Sqd16Inj, Sqd17Inj, Sqd18Inj, Sqd19Inj, Sqd20Inj, Sqd21Inj, Sqd22Inj, Sqd23Inj, Sqd24Inj, Sqd25Inj, Sqd26Inj, Sqd27Inj, Sqd28Inj, Sqd29Inj, Sqd30Inj
13,-1270662063,10,68,0,No,No,Yes,21887, 6, 1, 3, 0, 0, 16, 1, 0, 0, 1, 2, 1, 0, 0, 0, 0, 11, 16, 3, 1, 2, 2, 4, 0, 2, 4, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
14,-1871968216,13,65,0,No,No,Yes,30264, 3, 1, 1, 0, 1, 16, 0, 0, 0, 0, 2, 0, 3, 0, 0, 0, 11, 16, 3, 1, 2, 2, 4, 0, 2, 4, 0, 0, 3, 3, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
15,-1192984565,13,67,0,No,No,Yes,20076, 4, 1, 3, 0, 0, 16, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 16, 3, 1, 2, 2, 4, 0, 3, 4, 1, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
16,-375587855,36,67,0,No,No,Yes,23028, 6, 1, 1, 0, 1, 16, 0, 0, 0, 1, 7, 4, 7, 1, 0, 1, 11, 16, 3, 1, 2, 2, 4, 0, 1, 4, 1, 0, 7, 5, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
17,1120114227,20,65,0,No,No,Yes,24560, 5, 1, 0, 1, 7, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 16, 3, 1, 2, 2, 4, 0, 0, 4, 0, 0, 5, 7, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18,1532135737,21,62,0,No,No,Yes,19905, 3, 1, 2, 0, 3, 15, 1, 0, 0, 0, 6, 1, 3, 0, 0, 0, 11, 16, 3, 1, 2, 2, 4, 0, 0, 4, 0, 0, 5, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19,-1092923461,17,64,0,No,No,Yes,16498, 5, 1, 0, 1, 7, 16, 2, 0, 0, 1, 0, 0, 1, 1, 1, 1, 9, 16, 3, 1, 2, 2, 4, 0, 1, 4, 0, 1, 1, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20,1893295833,29,63,0,No,No,Yes,23631, 5, 1, 1, 1, 7, 16, 0, 0, 0, 0, 0, 7, 4, 0, 0, 0, 11, 16, 3, 1, 2, 0, 4, 0, 0, 4, 1, 0, 7, 1, 0, 0, 2, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
21,-423468582,36,66,0,No,No,Yes,13413, 6, 1, 2, 1, 7, 16, 2, 0, 0, 0, 7, 0, 0, 1, 0, 0, 11, 16, 3, 1, 2, 2, 4, 0, 0, 4, 1, 1, 7, 7, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
22,-276336420,11,65,0,No,No,Yes,27934, 5, 1, 3, 0, 1, 16, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 10, 16, 3, 1, 2, 1, 4, 0, 2, 4, 0, 0, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
