# MANA MultiRun Summary File
# Version: 5.01.04
# Machine Name: MAZZAS-PC
# Scenario,F:\SE311-114G\MANA_version5_31st_Jan_2013\Capstone114G_Scenario_Reinforced-20130412.xml
# MultiRun Started,4/12/2013,9:59:35 PM
Run,Seed,Alleg1Cas(Blue),Alleg2Cas(Red),Alleg0Cas(Neutral),Blue Reach Goal,Red Reach Goal,Neutral Reach Goal,Steps, Sqd1Cas, Sqd2Cas, Sqd3Cas, Sqd4Cas, Sqd5Cas, Sqd6Cas, Sqd7Cas, Sqd8Cas, Sqd9Cas, Sqd10Cas, Sqd11Cas, Sqd12Cas, Sqd13Cas, Sqd14Cas, Sqd15Cas, Sqd16Cas, Sqd17Cas, Sqd18Cas, Sqd19Cas, Sqd20Cas, Sqd21Cas, Sqd22Cas, Sqd23Cas, Sqd24Cas, Sqd25Cas, Sqd26Cas, Sqd27Cas, Sqd28Cas, Sqd29Cas, Sqd30Cas, Sqd1Inj, Sqd2Inj, Sqd3Inj, Sqd4Inj, Sqd5Inj, Sqd6Inj, Sqd7Inj, Sqd8Inj, Sqd9Inj, Sqd10Inj, Sqd11Inj, Sqd12Inj, Sqd13Inj, Sqd14Inj, Sqd15Inj, Sqd16Inj, Sqd17Inj, Sqd18Inj, Sqd19Inj, Sqd20Inj, Sqd21Inj, Sqd22Inj, Sqd23Inj, Sqd24Inj, Sqd25Inj, Sqd26Inj, Sqd27Inj, Sqd28Inj, Sqd29Inj, Sqd30Inj
1,1466346380,2,69,0,No,No,No,9155, 6, 1, 1, 0, 0, 16, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 16, 3, 1, 2, 2, 4, 0, 4, 4, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2,-258714452,6,69,0,No,No,No,11683, 6, 1, 1, 0, 0, 16, 0, 0, 0, 1, 1, 1, 2, 0, 0, 0, 11, 16, 3, 1, 2, 2, 4, 1, 2, 4, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
3,1803989225,14,68,0,No,No,Yes,15440, 4, 1, 3, 0, 0, 16, 0, 0, 0, 1, 2, 2, 1, 1, 1, 1, 11, 16, 3, 1, 2, 2, 4, 0, 4, 4, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
4,1358256442,19,65,0,No,No,Yes,18860, 5, 1, 2, 0, 0, 16, 0, 0, 0, 0, 7, 0, 0, 1, 0, 0, 11, 16, 3, 1, 2, 2, 4, 0, 0, 4, 1, 0, 7, 1, 0, 0, 2, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
5,-1664199181,14,67,0,No,No,Yes,20593, 6, 1, 1, 0, 0, 16, 0, 0, 0, 0, 0, 2, 7, 0, 0, 1, 11, 16, 3, 1, 2, 2, 4, 0, 1, 4, 0, 0, 1, 2, 0, 0, 3, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
6,721697501,17,67,0,No,No,Yes,18440, 5, 1, 1, 0, 0, 16, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 11, 16, 3, 1, 2, 2, 4, 0, 2, 4, 0, 0, 5, 7, 0, 0, 2, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
7,-229231288,31,67,0,No,No,Yes,15063, 5, 1, 0, 0, 0, 16, 2, 0, 0, 1, 7, 7, 7, 1, 1, 1, 11, 16, 3, 1, 2, 2, 4, 0, 2, 4, 0, 0, 1, 3, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8,259378535,9,69,0,No,No,No,12386, 5, 1, 0, 0, 0, 16, 1, 0, 0, 0, 7, 0, 0, 1, 0, 0, 11, 16, 3, 1, 2, 2, 4, 0, 4, 4, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
9,1249531561,10,66,0,No,No,Yes,15891, 2, 1, 1, 0, 0, 16, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 11, 16, 3, 1, 2, 2, 4, 0, 4, 4, 1, 0, 7, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
10,1732089542,15,66,0,No,No,Yes,18545, 5, 1, 0, 0, 0, 16, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 16, 3, 1, 2, 2, 4, 0, 1, 4, 1, 0, 7, 6, 0, 0, 2, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
