# MANA MultiRun Summary File
# Version: 5.01.04
# Machine Name: APGRNBRCG5RTKZK
# Scenario,C:\Users\steve.mazza\Desktop\School\SE311-114G\MANA_version5_31st_Jan_2013\ThesisScenario_3_12.xml
# MultiRun Started,3/21/2013,2:02:26 PM
Run,Seed,Alleg1Cas(Blue),Alleg2Cas(Red),Alleg0Cas(Neutral),Blue Reach Goal,Red Reach Goal,Neutral Reach Goal,Steps, Sqd1Cas, Sqd2Cas, Sqd3Cas, Sqd4Cas, Sqd5Cas, Sqd6Cas, Sqd7Cas, Sqd8Cas, Sqd9Cas, Sqd10Cas, Sqd11Cas, Sqd12Cas, Sqd13Cas, Sqd14Cas, Sqd15Cas, Sqd16Cas, Sqd17Cas, Sqd18Cas, Sqd19Cas, Sqd20Cas, Sqd21Cas, Sqd22Cas, Sqd23Cas, Sqd24Cas, Sqd25Cas, Sqd26Cas, Sqd1Inj, Sqd2Inj, Sqd3Inj, Sqd4Inj, Sqd5Inj, Sqd6Inj, Sqd7Inj, Sqd8Inj, Sqd9Inj, Sqd10Inj, Sqd11Inj, Sqd12Inj, Sqd13Inj, Sqd14Inj, Sqd15Inj, Sqd16Inj, Sqd17Inj, Sqd18Inj, Sqd19Inj, Sqd20Inj, Sqd21Inj, Sqd22Inj, Sqd23Inj, Sqd24Inj, Sqd25Inj, Sqd26Inj
1,1547797252,23,67,0,No,No,Yes,11839, 5, 1, 0, 0, 0, 16, 1, 0, 0, 0, 7, 6, 7, 1, 0, 1, 11, 16, 3, 1, 2, 2, 4, 0, 2, 4, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2,-1571056657,17,66,0,No,No,Yes,14600, 6, 1, 0, 0, 1, 16, 0, 0, 0, 0, 7, 0, 7, 1, 0, 1, 9, 16, 3, 1, 2, 2, 4, 0, 2, 4, 0, 0, 2, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
3,-1192046139,8,53,0,No,No,Yes,8254, 6, 1, 0, 1, 1, 16, 3, 0, 0, 0, 0, 0, 0, 1, 1, 1, 11, 5, 3, 0, 2, 0, 4, 0, 1, 4, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
4,202451723,6,66,0,No,No,Yes,14647, 5, 1, 1, 0, 1, 16, 0, 0, 0, 1, 0, 1, 1, 0, 0, 1, 10, 16, 3, 1, 2, 1, 4, 0, 3, 4, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
5,-829884775,20,63,0,No,No,Yes,10367, 3, 1, 0, 1, 7, 16, 0, 0, 0, 0, 3, 7, 0, 0, 1, 1, 11, 16, 3, 1, 2, 2, 4, 0, 0, 4, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
# MultiRun Finished,3/21/2013,2:25:04 PM
, , BlueCas, RedCas, NeutralCas, BlueGoal, RedGoal, SquadGoal, Steps, RealTime, 
Means, , 14.800000, 63.000000, 0.000000, 0.000000, 0.000000, 1.000000, 11941.400000, 11941.400000, 
Std Errors, , 3.337664, 2.588436, 0.000000, 0.000000, 0.000000, 0.000000, 1234.393884, 1234.393884, 
# Output Ends
