# MANA MultiRun Summary File
# Version: 5.01.04
# Machine Name: MAZZAS-PC
# Scenario,F:\SE311-114G\MANA_version5_31st_Jan_2013\ThesisScenario_3_12.xml
# MultiRun Started,4/9/2013,6:18:24 AM
Run,Seed,Alleg1Cas(Blue),Alleg2Cas(Red),Alleg0Cas(Neutral),Blue Reach Goal,Red Reach Goal,Neutral Reach Goal,Steps, Sqd1Cas, Sqd2Cas, Sqd3Cas, Sqd4Cas, Sqd5Cas, Sqd6Cas, Sqd7Cas, Sqd8Cas, Sqd9Cas, Sqd10Cas, Sqd11Cas, Sqd12Cas, Sqd13Cas, Sqd14Cas, Sqd15Cas, Sqd16Cas, Sqd17Cas, Sqd18Cas, Sqd19Cas, Sqd20Cas, Sqd21Cas, Sqd22Cas, Sqd23Cas, Sqd24Cas, Sqd25Cas, Sqd26Cas, Sqd1Inj, Sqd2Inj, Sqd3Inj, Sqd4Inj, Sqd5Inj, Sqd6Inj, Sqd7Inj, Sqd8Inj, Sqd9Inj, Sqd10Inj, Sqd11Inj, Sqd12Inj, Sqd13Inj, Sqd14Inj, Sqd15Inj, Sqd16Inj, Sqd17Inj, Sqd18Inj, Sqd19Inj, Sqd20Inj, Sqd21Inj, Sqd22Inj, Sqd23Inj, Sqd24Inj, Sqd25Inj, Sqd26Inj
15,1999377231,20,66,0,No,No,Yes,18518, 5, 1, 0, 0, 3, 16, 0, 0, 0, 1, 2, 7, 7, 0, 0, 0, 11, 16, 3, 1, 2, 2, 4, 0, 1, 4, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
16,-1306940428,26,59,0,No,No,Yes,9878, 6, 1, 1, 1, 0, 16, 0, 0, 0, 0, 7, 7, 7, 1, 1, 1, 8, 13, 3, 0, 2, 0, 4, 0, 2, 4, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
17,-1125023482,17,58,0,No,No,Yes,17471, 5, 1, 2, 0, 4, 16, 0, 0, 0, 1, 3, 4, 3, 0, 0, 0, 11, 8, 3, 0, 2, 0, 4, 0, 4, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18,-1706391250,4,64,0,No,No,Yes,12735, 4, 1, 1, 0, 0, 16, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 11, 13, 3, 1, 2, 1, 4, 0, 4, 4, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19,700863037,32,61,0,No,No,Yes,10346, 6, 1, 2, 1, 7, 14, 0, 0, 0, 0, 7, 7, 7, 0, 1, 0, 11, 16, 3, 1, 1, 0, 4, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20,1388125871,21,58,0,No,No,Yes,16291, 4, 1, 1, 0, 3, 14, 0, 0, 0, 0, 7, 7, 0, 1, 1, 1, 11, 13, 3, 1, 1, 2, 4, 0, 0, 4, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
21,2093936267,25,65,0,No,No,Yes,9895, 6, 1, 1, 0, 3, 16, 3, 0, 0, 0, 7, 7, 1, 1, 1, 1, 11, 16, 3, 1, 2, 1, 4, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
22,-1163788184,19,64,0,No,No,Yes,9646, 6, 1, 0, 1, 7, 16, 2, 0, 0, 0, 0, 1, 7, 0, 0, 1, 7, 15, 3, 1, 2, 2, 4, 0, 3, 4, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
23,585289890,18,67,0,No,No,Yes,14275, 6, 1, 2, 0, 1, 16, 0, 0, 0, 0, 5, 3, 5, 1, 1, 0, 10, 16, 3, 1, 2, 2, 4, 0, 2, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
24,-845187930,19,63,0,No,No,Yes,11974, 5, 1, 0, 1, 7, 16, 0, 0, 0, 0, 2, 1, 6, 1, 1, 0, 11, 16, 3, 1, 2, 0, 4, 0, 0, 4, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
25,1036612590,12,64,0,No,No,Yes,14034, 3, 1, 1, 0, 0, 16, 0, 0, 0, 0, 7, 1, 2, 1, 0, 0, 11, 16, 3, 1, 2, 2, 4, 0, 1, 4, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
26,-655522880,9,68,0,No,No,Yes,14295, 5, 1, 0, 1, 0, 16, 0, 0, 0, 0, 1, 4, 1, 0, 1, 1, 11, 16, 3, 1, 2, 2, 4, 0, 3, 4, 0, 0, 2, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
27,-1678352916,12,68,0,No,No,Yes,19694, 6, 1, 0, 0, 6, 16, 0, 0, 0, 0, 0, 1, 4, 1, 0, 0, 11, 16, 3, 1, 2, 2, 4, 0, 2, 4, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
28,-2019784675,6,68,0,No,No,Yes,15545, 6, 1, 1, 1, 0, 16, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 11, 16, 3, 1, 2, 2, 4, 0, 2, 4, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
29,-1302562404,25,60,0,No,No,Yes,14766, 4, 1, 2, 1, 7, 15, 0, 0, 0, 0, 1, 7, 4, 1, 1, 1, 11, 15, 3, 1, 2, 0, 4, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
30,-57143326,23,66,0,No,No,Yes,15313, 6, 1, 1, 1, 7, 16, 0, 0, 0, 0, 2, 7, 4, 0, 1, 0, 11, 16, 3, 1, 2, 2, 4, 0, 0, 4, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
31,-1067165220,22,62,0,No,No,Yes,11922, 5, 1, 2, 1, 7, 16, 0, 0, 0, 0, 4, 7, 0, 0, 1, 0, 10, 16, 3, 1, 1, 1, 4, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
32,1012055473,13,60,0,No,No,Yes,11676, 6, 1, 0, 0, 0, 16, 0, 0, 0, 1, 0, 2, 7, 1, 1, 1, 8, 13, 3, 1, 2, 2, 4, 0, 0, 4, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
33,176977865,14,48,0,No,No,Yes,11717, 3, 1, 2, 1, 7, 14, 0, 0, 0, 0, 2, 1, 0, 1, 0, 0, 9, 8, 3, 1, 1, 0, 4, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
34,1131114051,15,64,0,No,No,Yes,21748, 4, 1, 2, 0, 2, 16, 1, 0, 0, 0, 2, 4, 4, 0, 0, 0, 11, 16, 3, 1, 2, 0, 4, 0, 2, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
35,-89334202,16,67,0,No,No,Yes,16938, 5, 1, 2, 0, 3, 16, 0, 0, 0, 0, 1, 1, 7, 0, 1, 1, 11, 16, 3, 1, 2, 2, 4, 0, 2, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
# MultiRun Finished,4/9/2013,2:03:38 PM
, , BlueCas, RedCas, NeutralCas, BlueGoal, RedGoal, SquadGoal, Steps, RealTime, 
Means, , 16.000000, 63.142857, 0.000000, 0.000000, 0.000000, 1.000000, 14133.314286, 14133.314286, 
Std Errors, , 1.181083, 0.689834, 0.000000, 0.000000, 0.000000, 0.000000, 517.911496, 517.911496, 
# Output Ends
