# MANA MultiRun Summary File
# Version: 5.01.04
# Machine Name: MAZZAS-PC
# Scenario,F:\SE311-114G\MANA_version5_31st_Jan_2013\Capstone114G_Scenario_Reinforced-20130412.xml
# MultiRun Started,4/12/2013,9:57:09 PM
Run,Seed,Alleg1Cas(Blue),Alleg2Cas(Red),Alleg0Cas(Neutral),Blue Reach Goal,Red Reach Goal,Neutral Reach Goal,Steps, Sqd1Cas, Sqd2Cas, Sqd3Cas, Sqd4Cas, Sqd5Cas, Sqd6Cas, Sqd7Cas, Sqd8Cas, Sqd9Cas, Sqd10Cas, Sqd11Cas, Sqd12Cas, Sqd13Cas, Sqd14Cas, Sqd15Cas, Sqd16Cas, Sqd17Cas, Sqd18Cas, Sqd19Cas, Sqd20Cas, Sqd21Cas, Sqd22Cas, Sqd23Cas, Sqd24Cas, Sqd25Cas, Sqd26Cas, Sqd27Cas, Sqd28Cas, Sqd29Cas, Sqd30Cas, Sqd1Inj, Sqd2Inj, Sqd3Inj, Sqd4Inj, Sqd5Inj, Sqd6Inj, Sqd7Inj, Sqd8Inj, Sqd9Inj, Sqd10Inj, Sqd11Inj, Sqd12Inj, Sqd13Inj, Sqd14Inj, Sqd15Inj, Sqd16Inj, Sqd17Inj, Sqd18Inj, Sqd19Inj, Sqd20Inj, Sqd21Inj, Sqd22Inj, Sqd23Inj, Sqd24Inj, Sqd25Inj, Sqd26Inj, Sqd27Inj, Sqd28Inj, Sqd29Inj, Sqd30Inj
1,1078992057,20,66,0,No,No,No,50000, 5, 1, 2, 0, 0, 16, 5, 0, 0, 1, 4, 1, 6, 0, 0, 1, 11, 16, 3, 1, 2, 1, 4, 0, 2, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2,-33749682,15,64,0,No,No,Yes,12934, 5, 1, 2, 0, 0, 16, 0, 0, 0, 1, 2, 7, 0, 1, 1, 1, 10, 15, 3, 1, 2, 1, 4, 0, 2, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
3,-1369581862,8,69,0,No,No,No,10535, 6, 1, 1, 0, 0, 16, 3, 0, 0, 0, 3, 0, 1, 0, 0, 0, 11, 16, 3, 1, 2, 2, 4, 0, 3, 4, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
4,-324062821,12,66,0,No,No,Yes,15851, 4, 1, 1, 0, 0, 16, 2, 0, 0, 0, 0, 5, 2, 1, 1, 0, 11, 16, 3, 1, 2, 2, 4, 0, 2, 4, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
5,2117545357,10,67,0,No,No,Yes,15035, 5, 1, 0, 0, 0, 16, 1, 0, 0, 0, 2, 6, 1, 0, 0, 0, 11, 16, 3, 1, 2, 2, 4, 0, 2, 4, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
6,432788202,12,66,0,No,No,Yes,14653, 6, 1, 0, 0, 0, 16, 1, 0, 0, 2, 1, 0, 7, 0, 0, 1, 11, 16, 3, 1, 2, 2, 4, 0, 0, 4, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
7,-117667158,6,68,0,No,No,Yes,11700, 6, 1, 2, 0, 0, 16, 3, 0, 0, 0, 1, 0, 0, 0, 0, 0, 11, 16, 3, 1, 2, 2, 4, 0, 2, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8,-1555395846,15,67,0,No,No,Yes,14220, 5, 1, 1, 0, 0, 16, 3, 0, 0, 2, 5, 3, 0, 1, 0, 0, 11, 16, 3, 1, 2, 2, 4, 0, 2, 4, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
9,-2106427434,13,64,0,No,No,Yes,11110, 6, 1, 1, 0, 0, 15, 0, 0, 0, 1, 1, 7, 0, 1, 1, 1, 11, 11, 3, 1, 2, 2, 4, 0, 4, 4, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
10,-1026567050,9,66,0,No,No,Yes,14447, 5, 1, 2, 0, 0, 16, 1, 0, 0, 2, 2, 1, 0, 0, 1, 0, 10, 16, 3, 1, 2, 2, 4, 0, 2, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
11,-816647993,14,62,0,No,No,Yes,10848, 5, 1, 1, 0, 0, 16, 4, 0, 0, 0, 0, 0, 7, 1, 0, 1, 8, 16, 3, 1, 2, 1, 4, 0, 1, 4, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
12,2022259289,7,63,0,No,No,Yes,13807, 6, 1, 2, 0, 0, 15, 2, 0, 0, 0, 0, 1, 1, 1, 0, 0, 8, 16, 3, 1, 2, 1, 4, 0, 2, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
13,-1898666947,3,65,0,No,No,Yes,18514, 5, 1, 0, 0, 0, 16, 1, 0, 0, 2, 0, 0, 0, 0, 0, 0, 11, 16, 3, 1, 2, 2, 4, 0, 0, 4, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
14,-76083575,10,63,0,No,No,Yes,14753, 4, 1, 1, 0, 0, 16, 1, 0, 0, 0, 1, 3, 3, 0, 1, 0, 11, 13, 3, 1, 2, 2, 4, 0, 2, 4, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
15,1364432247,8,68,0,No,No,Yes,12134, 5, 1, 2, 0, 0, 16, 3, 0, 0, 1, 0, 1, 0, 1, 0, 0, 11, 16, 3, 1, 2, 2, 4, 0, 3, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
