# MANA MultiRun Summary File
# Version: 5.01.04
# Machine Name: MAZZAS-PC
# Scenario,F:\SE311-114G\MANA_version5_31st_Jan_2013\ThesisScenario_3_12.xml
# MultiRun Started,4/24/2013,7:43:19 PM
Run,Seed,Alleg1Cas(Blue),Alleg2Cas(Red),Alleg0Cas(Neutral),Blue Reach Goal,Red Reach Goal,Neutral Reach Goal,Steps, Sqd1Cas, Sqd2Cas, Sqd3Cas, Sqd4Cas, Sqd5Cas, Sqd6Cas, Sqd7Cas, Sqd8Cas, Sqd9Cas, Sqd10Cas, Sqd11Cas, Sqd12Cas, Sqd13Cas, Sqd14Cas, Sqd15Cas, Sqd16Cas, Sqd17Cas, Sqd18Cas, Sqd19Cas, Sqd20Cas, Sqd21Cas, Sqd22Cas, Sqd23Cas, Sqd24Cas, Sqd25Cas, Sqd26Cas, Sqd1Inj, Sqd2Inj, Sqd3Inj, Sqd4Inj, Sqd5Inj, Sqd6Inj, Sqd7Inj, Sqd8Inj, Sqd9Inj, Sqd10Inj, Sqd11Inj, Sqd12Inj, Sqd13Inj, Sqd14Inj, Sqd15Inj, Sqd16Inj, Sqd17Inj, Sqd18Inj, Sqd19Inj, Sqd20Inj, Sqd21Inj, Sqd22Inj, Sqd23Inj, Sqd24Inj, Sqd25Inj, Sqd26Inj
15,-1901466636,1,51,0,No,No,Yes,15084, 5, 1, 0, 0, 0, 16, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 10, 3, 1, 2, 0, 4, 0, 0, 4, 0, 0, 2, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
16,-1148183642,4,51,0,No,No,Yes,12922, 4, 1, 2, 0, 0, 16, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 8, 3, 1, 2, 0, 4, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
17,-1426411726,5,51,0,No,No,Yes,13452, 5, 1, 2, 0, 0, 16, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 4, 10, 3, 1, 2, 0, 4, 0, 1, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18,-1627194185,5,57,0,No,No,Yes,18970, 4, 1, 2, 0, 0, 16, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 6, 14, 3, 0, 2, 1, 4, 0, 2, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19,-207995401,5,47,0,No,No,Yes,19750, 4, 1, 0, 0, 1, 16, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 4, 8, 3, 1, 2, 0, 4, 0, 0, 4, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20,-1600411872,3,53,0,No,No,Yes,19893, 4, 1, 2, 0, 0, 16, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 14, 3, 0, 2, 0, 4, 0, 2, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
21,1083200215,5,56,0,No,No,Yes,16005, 5, 1, 1, 0, 0, 16, 1, 0, 0, 1, 0, 1, 1, 0, 0, 0, 5, 12, 3, 0, 2, 0, 4, 0, 4, 4, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
22,471200362,4,51,0,No,No,Yes,13837, 6, 1, 2, 0, 1, 16, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 6, 3, 1, 2, 1, 4, 0, 4, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
23,-1363675845,7,45,0,No,No,Yes,15711, 6, 1, 2, 0, 0, 16, 3, 0, 0, 1, 0, 1, 0, 0, 0, 0, 2, 4, 3, 1, 2, 1, 4, 0, 1, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
24,-1135233784,4,59,0,No,No,Yes,18937, 5, 1, 0, 0, 0, 16, 2, 0, 0, 1, 1, 0, 0, 0, 0, 0, 9, 10, 3, 0, 2, 1, 4, 0, 4, 4, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
25,-2024808699,9,45,0,No,No,No,50000, 5, 1, 2, 0, 0, 16, 4, 0, 0, 1, 2, 0, 0, 0, 0, 0, 3, 8, 3, 1, 2, 0, 2, 0, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
26,-1937280275,3,45,0,No,No,Yes,14164, 4, 1, 0, 0, 0, 16, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 2, 5, 3, 1, 2, 1, 4, 0, 2, 4, 0, 0, 2, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
27,1843954862,2,53,0,No,No,Yes,21689, 5, 1, 0, 0, 0, 16, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 7, 8, 3, 0, 2, 2, 4, 0, 1, 4, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
28,1144158576,2,62,0,No,No,Yes,14572, 6, 1, 1, 0, 0, 16, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 12, 3, 1, 2, 0, 4, 0, 2, 4, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
29,1842649046,6,51,0,No,No,Yes,18606, 5, 1, 2, 0, 0, 16, 1, 0, 0, 0, 3, 0, 0, 0, 0, 0, 2, 11, 3, 0, 2, 0, 4, 0, 3, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
30,1267985534,4,20,0,No,No,No,50000, 0, 1, 0, 0, 0, 16, 0, 0, 0, 1, 3, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
31,256212053,3,51,0,No,No,Yes,17881, 6, 1, 0, 0, 2, 16, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 3, 3, 0, 2, 0, 4, 0, 4, 4, 0, 0, 2, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
32,251142054,4,51,0,No,No,Yes,19072, 6, 1, 0, 0, 1, 16, 2, 0, 0, 0, 0, 0, 1, 0, 0, 0, 4, 8, 3, 1, 2, 0, 4, 0, 2, 4, 0, 0, 2, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
33,-262623580,6,48,0,No,No,Yes,31096, 4, 1, 1, 0, 0, 16, 3, 0, 0, 1, 1, 0, 0, 0, 0, 0, 7, 4, 3, 1, 2, 0, 4, 0, 2, 4, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
34,1677542732,2,44,0,No,No,Yes,23891, 3, 1, 0, 0, 0, 16, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 3, 6, 3, 0, 2, 2, 4, 0, 0, 4, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
35,-1865162103,4,58,0,No,No,Yes,13003, 5, 1, 1, 0, 0, 16, 2, 0, 0, 1, 0, 0, 0, 0, 0, 0, 9, 10, 3, 1, 2, 2, 4, 0, 1, 4, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
# MultiRun Finished,4/24/2013,10:30:14 PM
, , BlueCas, RedCas, NeutralCas, BlueGoal, RedGoal, SquadGoal, Steps, RealTime, 
Means, , 4.085714, 50.085714, 0.000000, 0.000000, 0.000000, 0.857143, 22712.485714, 22712.485714, 
Std Errors, , 0.353545, 1.301177, 0.000000, 0.000000, 0.000000, 0.060012, 2021.152482, 2021.152482, 
# Output Ends
